method,iteration,num_sites,sample_size,global_mean,global_var,global_skew,hemi_mean,hemi_var,hemi_skew
'great_circle',0,10,45,10524.316402746404,18210635.757110696,-0.22994924179536652,6721.669606021268,12265472.20822881,-0.048930261739155996
'great_circle',1,10,45,10345.14676664295,25028772.40896189,0.1759069594591359,8326.420192387759,14536527.325410927,0.2239305589273769
'great_circle',2,10,45,7148.1595271562355,14949301.414585784,1.0197618225427134,5474.397525462167,5814624.945787116,0.39909738324116806
'great_circle',3,10,45,10576.568954804212,25587273.16466177,-0.011620657517852441,7827.98103253721,9044324.69583903,0.12445426992320252
'great_circle',4,10,45,7335.791511567101,14666918.618277712,0.5066392061038393,4805.7320536601155,4324718.837667447,-0.7418754015739064
'great_circle',5,10,45,11518.59099711243,17760355.694040176,-0.5046094925160601,8589.889449403274,14579133.40777357,-0.1981741091285755
'great_circle',6,10,45,11378.647766783208,26403123.934249856,-0.06572750614533496,12535.108700461185,29897476.23231283,-0.5334653460100648
'great_circle',7,10,45,10055.922347244801,25989989.524245627,-0.26524413989992274,4921.781236031136,4580330.930089947,0.5919658850193381
'great_circle',8,10,45,8235.922962044646,12987732.095485324,0.2356254934311399,4505.025875932239,8368837.829060989,0.6006583395301568
'great_circle',9,10,45,10267.045173641885,15632579.260350429,0.10181773320339066,8974.17030099769,6349050.238093311,0.7490507960511366
'great_circle',10,10,45,8652.870386552224,13754589.285769703,0.5298034009873507,6130.253211477833,6431114.952580606,0.9599923855861069
'great_circle',11,10,45,10333.518721288523,15290902.865633732,0.11591475936849084,8133.162019751565,9432362.328108115,0.7404016920254474
'great_circle',12,10,45,10420.151828566608,13101618.458437625,0.17329116683034046,9415.566867264237,16071750.975761564,-0.707106781186548
'great_circle',13,10,45,10259.587481325734,19371468.44731202,-0.6683229842942566,8533.462673815051,9208346.878643328,-0.5414690883161783
'great_circle',14,10,45,9460.984258873912,25616920.226108886,0.07448702895979281,11177.417639786096,25383201.149288733,0.008869534002753802
'great_circle',15,10,45,10081.292057625935,35850999.87018287,-0.04958692648902579,6461.04460694928,23256276.164745253,0.7308784843133835
'great_circle',16,10,45,11566.43051479277,18608431.263883125,-0.8771723594836267,6769.463213360155,9323392.616266722,-0.6310579072849894
'great_circle',17,10,45,9462.52168185121,14937193.131573083,-0.13008034307982555,6648.902501365421,8470382.046758257,1.2870535446229272
'great_circle',18,10,45,8728.029525746084,23809513.484227065,0.6179722828057098,12981.985200175168,13723223.893281719,0.40824829046386324
'great_circle',19,10,45,9867.691254668565,18652248.19069938,0.1204972201928749,7469.706389113034,15176043.267671585,-0.46017337669636244
'great_circle',20,10,45,11883.840369003769,18613763.395981982,-0.7793372841709837,12143.796940389942,17637368.45229662,-1.3268346452985298
'great_circle',21,10,45,8861.916018644712,13444197.120090159,0.37932284764560464,6237.045179862575,5333191.204425547,0.3643840619775931
'great_circle',22,10,45,9659.218126339196,19289215.436813112,-0.008123780496514618,5710.068577970058,6348384.928487178,0.4511106215970374
'great_circle',23,10,45,8901.495641948763,15553506.680602122,0.4100527970342978,10999.423061583419,0.0,0.0
'great_circle',24,10,45,8713.01302755675,15092475.784723792,0.7220239322434336,6732.088496142487,5606771.551335565,0.4522504970178621
'great_circle',25,10,45,9895.58308532294,17497509.77088813,-0.2792055462781812,7928.148561129153,18371899.334808785,-0.09987250121728163
'great_circle',26,10,45,10564.984955690232,18945496.897625916,-0.027698189455072172,5228.892677592612,12447530.609453816,0.0
'great_circle',27,10,45,10156.459632900636,18060148.486082155,0.23493858954853913,8265.74373123422,9344729.651914934,0.695720048592143
'great_circle',28,10,45,8240.642040791037,14863794.300013794,0.32681998449160116,6635.045995807219,9956637.223454503,0.003950503075985302
'great_circle',29,10,45,9657.762739623364,18927130.164141856,0.3147192217101098,7607.123292777712,12181231.300411083,-0.22577214556945488
'great_circle',30,10,45,9598.299550330956,23275317.87696019,0.3187571217037891,nan,nan,nan
'great_circle',31,10,45,8500.986151116584,19812430.64585761,0.29658517084545516,5519.2048117288,2461009.231857002,0.2807747939667092
'great_circle',32,10,45,11086.002948701445,23677624.343793172,-0.0654628236850024,4938.962236066742,5463966.974771013,0.6606821634589335
'great_circle',33,10,45,10401.69391139916,26087750.286896694,0.09561824070989522,6696.496331356466,10097715.933378479,0.7526450791788668
'great_circle',34,10,45,10400.726415200452,14533540.02808158,-0.06882072885999488,8040.59176153804,456132.88339542516,-0.4467590416103306
