SampleID	latitude_deg	longitude_deg
550.L1S1.s.1.sequence	40.015	-105.271
550.L1S10.s.1.sequence	40.015	-105.271
550.L1S100.s.1.sequence	40.015	-105.271
550.L1S101.s.1.sequence	40.015	-105.271
550.L1S102.s.1.sequence	40.015	-105.271
550.L1S103.s.1.sequence	40.015	-105.271
550.L1S104.s.1.sequence	40.015	-105.271
550.L1S105.s.1.sequence	40.015	-105.271
550.L1S106.s.1.sequence	40.015	-105.271
550.L1S107.s.1.sequence	40.015	-105.271
550.L1S108.s.1.sequence	40.015	-105.271
550.L1S109.s.1.sequence	40.015	-105.271
550.L1S11.s.1.sequence	40.015	-105.271
550.L1S110.s.1.sequence	40.015	-105.271
550.L1S111.s.1.sequence	40.015	-105.271
550.L1S112.s.1.sequence	40.015	-105.271
550.L1S113.s.1.sequence	40.015	-105.271
550.L1S114.s.1.sequence	40.015	-105.271
550.L1S115.s.1.sequence	40.015	-105.271
550.L1S116.s.1.sequence	40.015	-105.271
550.L1S117.s.1.sequence	40.015	-105.271
550.L1S118.s.1.sequence	40.015	-105.271
550.L1S119.s.1.sequence	40.015	-105.271
550.L1S12.s.1.sequence	40.015	-105.271
550.L1S120.s.1.sequence	40.015	-105.271
550.L1S121.s.1.sequence	40.015	-105.271
550.L1S122.s.1.sequence	40.015	-105.271
550.L1S123.s.1.sequence	40.015	-105.271
550.L1S124.s.1.sequence	40.015	-105.271
550.L1S125.s.1.sequence	40.015	-105.271
550.L1S126.s.1.sequence	40.015	-105.271
550.L1S127.s.1.sequence	40.015	-105.271
550.L1S128.s.1.sequence	40.015	-105.271
550.L1S129.s.1.sequence	40.015	-105.271
550.L1S13.s.1.sequence	40.015	-105.271
550.L1S130.s.1.sequence	40.015	-105.271
550.L1S131.s.1.sequence	40.015	-105.271
550.L1S132.s.1.sequence	40.015	-105.271
550.L1S133.s.1.sequence	40.015	-105.271
550.L1S134.s.1.sequence	40.015	-105.271
550.L1S135.s.1.sequence	40.015	-105.271
550.L1S136.s.1.sequence	40.015	-105.271
550.L1S137.s.1.sequence	40.015	-105.271
550.L1S138.s.1.sequence	40.015	-105.271
550.L1S139.s.1.sequence	40.015	-105.271
550.L1S14.s.1.sequence	40.015	-105.271
550.L1S140.s.1.sequence	40.015	-105.271
550.L1S141.s.1.sequence	40.015	-105.271
550.L1S142.s.1.sequence	40.015	-105.271
550.L1S143.s.1.sequence	40.015	-105.271
550.L1S144.s.1.sequence	40.015	-105.271
550.L1S145.s.1.sequence	40.015	-105.271
550.L1S146.s.1.sequence	40.015	-105.271
550.L1S147.s.1.sequence	40.015	-105.271
550.L1S148.s.1.sequence	40.015	-105.271
550.L1S149.s.1.sequence	40.015	-105.271
550.L1S15.s.1.sequence	40.015	-105.271
550.L1S150.s.1.sequence	40.015	-105.271
550.L1S151.s.1.sequence	40.015	-105.271
550.L1S152.s.1.sequence	40.015	-105.271
550.L1S153.s.1.sequence	40.015	-105.271
550.L1S154.s.1.sequence	40.015	-105.271
550.L1S155.s.1.sequence	40.015	-105.271
550.L1S156.s.1.sequence	40.015	-105.271
550.L1S157.s.1.sequence	40.015	-105.271
