name,distance
GloBI,1853.227501014187
GloBI,12008.939865128908
GloBI,6692.735106877708
GloBI,3178.478835631597
GloBI,4461.98684491169
GloBI,157.61925254565162
GloBI,8115.293018112445
GloBI,2581.8456467118604
GloBI,2151.3863804824878
GloBI,8408.73382536593
GloBI,3541.2632643733414
GloBI,5951.212328487883
GloBI,10361.914975100006
GloBI,1108.655223391484
GloBI,3526.444855351669
GloBI,3683.7514964716834
GloBI,1188.3301811017873
GloBI,715.8167498195879
GloBI,10425.032623530527
GloBI,7997.196533743884
GloBI,2385.4861233151646
GloBI,7439.879543731454
GloBI,7408.050712325737
GloBI,2047.321606103581
GloBI,5727.680434162179
GloBI,8294.587100909912
GloBI,12878.046913942513
GloBI,7029.277467586948
GloBI,634.7452968636861
GloBI,9741.590405237059
GloBI,1978.5254336424553
GloBI,1920.6932217083338
GloBI,7753.608514800399
GloBI,10546.132439956918
GloBI,11914.889711986107
GloBI,11040.429872484718
GloBI,8157.457637358424
GloBI,1972.067373272167
GloBI,12028.33504177227
GloBI,7758.93324242396
GloBI,7996.4723004822745
GloBI,656.383751446811
GloBI,764.8025198463959
GloBI,7361.127163254732
GloBI,9087.198323123597
GloBI,6740.529429167906
GloBI,9121.766763930491
GloBI,10733.891127329414
GloBI,12465.16919016315
GloBI,13064.17947437573
GloBI,2337.477201449123
GloBI,264.21763453222036
GloBI,8449.365409815764
GloBI,2773.833083780615
GloBI,908.5318275411081
GloBI,10571.228872421038
GloBI,11080.592001410263
GloBI,9852.409611353196
GloBI,1851.309577991747
GloBI,612.2969830407877
GloBI,3003.572140520747
GloBI,9026.243823579263
GloBI,12525.233473752063
GloBI,6796.907080810237
GloBI,4668.523700901928
GloBI,6008.930204655543
GloBI,5259.1017488130865
GloBI,207.0709606376242
GloBI,1431.1480202154894
GloBI,1298.0225654379522
GloBI,5765.025577921902
GloBI,17028.9254013192
GloBI,5192.58262193198
GloBI,1385.9112069012006
GloBI,13424.357124509917
GloBI,2857.797073864283
GloBI,1747.6182532628197
GloBI,6878.0443451329675
GloBI,2601.5995528875246
GloBI,6339.00587907529
GloBI,8070.570932213761
GloBI,6833.760051947323
GloBI,17962.803616343546
GloBI,5230.795925188736
GloBI,12357.487042064418
GloBI,6757.88806008289
GloBI,4853.989672629515
GloBI,7715.860567679589
GloBI,1731.3128325139326
GloBI,8590.677478798176
GloBI,8186.442851241484
GloBI,12865.110912638203
GloBI,5519.914158484865
GloBI,5280.054975992563
GloBI,6818.4680032108345
GloBI,3658.345525028152
GloBI,6873.543662919522
GloBI,4177.383326149383
GloBI,3196.684278733187
GloBI,8637.871233877218
GloBI,7339.797213775783
GloBI,4325.973890407339
GloBI,252.50534102604743
GloBI,4981.447166366715
GloBI,972.6774397085346
GloBI,2281.569438827602
GloBI,936.3813642913576
GloBI,1659.1953028206242
GloBI,2520.255892466847
GloBI,7768.273238290289
GloBI,37.13619225402566
GloBI,15527.715369534912
GloBI,7614.688560489695
GloBI,6864.117211587613
GloBI,1328.5220873902733
GloBI,1635.5040587756969
GloBI,8521.692600573524
GloBI,864.4908243169592
GloBI,7697.421804160044
GloBI,1269.4053345504358
GloBI,9279.94058599697
GloBI,7303.420687436709
GloBI,589.1088889340164
GloBI,15102.523469797845
GloBI,12077.085494294828
GloBI,2674.8461272277664
GloBI,5168.60194578026
GloBI,12262.23061701247
GloBI,7705.436402952832
GloBI,7301.17651651139
GloBI,525.5732124560988
GloBI,12713.088304229459
GloBI,2071.47482410213
GloBI,1762.308480197641
GloBI,3083.1451653404797
GloBI,8720.39923560759
GloBI,4973.334674452922
GloBI,5113.738934120656
GloBI,2457.549852881338
GloBI,1071.2950226224511
GloBI,4044.70995766764
GloBI,18605.25256803078
GloBI,2899.177862245792
GloBI,11822.892363632536
GloBI,4790.532948975113
GloBI,3651.8981657848835
GloBI,18649.282897988272
GloBI,7299.585531129905
GloBI,6018.40977067728
GloBI,1218.201205218252
GloBI,1585.1468396949647
GloBI,1745.1840473062155
GloBI,8184.411445246258
GloBI,10598.217140727505
GloBI,13459.202810699611
GloBI,1476.0127172459852
GloBI,18269.205944692247
GloBI,11855.262957498351
GloBI,6375.043049945477
GloBI,15973.434231901334
GloBI,1915.9070695974237
GloBI,819.8419559375919
GloBI,886.5085881736512
GloBI,2168.24696150289
GloBI,1949.794478656281
GloBI,10720.24816219771
GloBI,4170.70155870938
GloBI,15137.462629485843
GloBI,670.9613479387757
GloBI,7270.827436164557
GloBI,662.4660182640322
GloBI,5043.933760166652
GloBI,1498.239672126607
GloBI,4467.094411170476
GloBI,2058.165183814637
GloBI,955.6446229593911
GloBI,2584.3632175666917
GloBI,1594.2163785424686
GloBI,2788.7487284431086
GloBI,11924.7183971529
GloBI,8578.28522154482
GloBI,10986.498731275615
GloBI,5143.556231078831
GloBI,4877.874885590518
GloBI,7300.814945127535
GloBI,16720.29183826744
GloBI,16371.946038955473
GloBI,3219.23390337339
GloBI,7140.052754719022
GloBI,9092.106478458552
GloBI,4638.043177300908
GloBI,10303.201109410396
GloBI,8271.085931269294
GloBI,962.8027739799803
GloBI,1795.5603788354144
GloBI,846.6788359529446
GloBI,3328.2386657307316
GloBI,6370.435274609902
GloBI,13981.818039021293
GloBI,6190.281035426782
GloBI,1214.0073615239007
GloBI,4173.79836327147
GloBI,4484.191321928433
GloBI,5668.594251200437
GloBI,769.297085591467
GloBI,11466.462003522702
GloBI,832.1915329641
GloBI,6113.250939361489
GloBI,1543.897430141499
GloBI,2661.8350154669006
GloBI,7951.040479381934
GloBI,1034.7051720952952
GloBI,551.4206699200513
GloBI,5356.522170118976
