Site_ID,Latitude,Longitude
1001,54.96667,-131.31667
1002,55.38333,-132.41667
1003,55.7,-132.71667
1004,56.51667,-132.45
1005,57.41667,-133.93333
1006,57.21667,-133.48333
1007,58.03333,-133.95
1008,36.461944,-116.866667
1009,33.837197,-115.952919
1010,36,-114.460561
1011,36.727447,-118.153897
1012,35.042881,-115.40036
1013,44.637175,-123.310781
1014,44.637175,-123.310781
1015,44.637175,-123.310781
1016,44.637175,-123.310781
1017,44.637175,-123.310781
1018,44.637175,-123.310781
1019,44.637175,-123.310781
1020,44.637175,-123.310781
1021,34.252058,-112.522733
1022,34.252058,-112.522733
1023,34.252058,-112.522733
1024,34.252058,-112.522733
1025,34.252058,-112.522733
1026,34.252058,-112.522733
1027,34.252058,-112.522733
1028,34.252058,-112.522733
1029,39.737758,-107.731454
1030,39.737758,-107.731454
1031,39.737758,-107.731454
1032,39.737758,-107.731454
1033,39.737758,-107.731454
1034,44.837728,-115.787619
1035,44.837728,-115.787619
1036,33.28672,-111.278588
1037,33.28672,-111.278588
1038,33.28672,-111.278588
1039,33.28672,-111.278588
1040,37.117436,-116.049992
1041,37.117436,-116.049992
1042,37.117436,-116.049992
1043,37.117436,-116.049992
1044,37.117436,-116.049992
1045,37.117436,-116.049992
1046,37.117436,-116.049992
1047,37.117436,-116.049992
1048,37.117436,-116.049992
1049,37.117436,-116.049992
1050,37.117436,-116.049992
1051,37.117436,-116.049992
1052,37.117436,-116.049992
1053,37.117436,-116.049992
1054,37.117436,-116.049992
1055,37.117436,-116.049992
1056,37.117436,-116.049992
1057,37.117436,-116.049992
1058,37.117436,-116.049992
1059,37.117436,-116.049992
1060,37.117436,-116.049992
1061,37.117436,-116.049992
1062,37.117436,-116.049992
1063,37.117436,-116.049992
1064,37.117436,-116.049992
1065,37.117436,-116.049992
1066,37.117436,-116.049992
1067,37.117436,-116.049992
1068,37.117436,-116.049992
1069,37.117436,-116.049992
1070,37.117436,-116.049992
1071,37.117436,-116.049992
1072,37.117436,-116.049992
1073,37.117436,-116.049992
1074,37.117436,-116.049992
1075,37.117436,-116.049992
1076,37.117436,-116.049992
1077,37.117436,-116.049992
1078,37.117436,-116.049992
1079,37.117436,-116.049992
1080,37.117436,-116.049992
1081,37.117436,-116.049992
1082,37.117436,-116.049992
1083,37.117436,-116.049992
1084,37.117436,-116.049992
1085,37.117436,-116.049992
1086,37.117436,-116.049992
1087,37.117436,-116.049992
1088,37.117436,-116.049992
1089,37.117436,-116.049992
1090,37.117436,-116.049992
1091,37.117436,-116.049992
1092,37.117436,-116.049992
1093,37.117436,-116.049992
1094,37.117436,-116.049992
1095,37.117436,-116.049992
1096,37.117436,-116.049992
1097,37.117436,-116.049992
1098,37.117436,-116.049992
1099,37.117436,-116.049992
1100,37.117436,-116.049992
1101,37.117436,-116.049992
1102,37.117436,-116.049992
1103,37.117436,-116.049992
1104,37.117436,-116.049992
1105,37.117436,-116.049992
1106,37.117436,-116.049992
1107,37.117436,-116.049992
1108,37.117436,-116.049992
1109,37.117436,-116.049992
1110,37.117436,-116.049992
1111,37.117436,-116.049992
1112,37.117436,-116.049992
1113,37.117436,-116.049992
1114,37.117436,-116.049992
1115,37.117436,-116.049992
1116,37.117436,-116.049992
1117,37.117436,-116.049992
1118,37.117436,-116.049992
1119,37.117436,-116.049992
1120,37.117436,-116.049992
1121,37.117436,-116.049992
1122,37.117436,-116.049992
1123,37.117436,-116.049992
1124,37.117436,-116.049992
1125,37.117436,-116.049992
1126,37.117436,-116.049992
1127,37.117436,-116.049992
1128,37.117436,-116.049992
1129,37.117436,-116.049992
1130,37.117436,-116.049992
1131,37.117436,-116.049992
1132,37.117436,-116.049992
1133,37.117436,-116.049992
1134,37.117436,-116.049992
1135,37.117436,-116.049992
1136,37.117436,-116.049992
1137,37.117436,-116.049992
1138,37.117436,-116.049992
1139,37.117436,-116.049992
